results.quest_id, questions.nummer, results.thread_id, results.value
"1";"7";"130306";"6"
"2";"9";"130306";"6"
"3";"20";"130306";"6"
"4";"29";"130306";"1"
"5";"32";"130306";"1"
"6";"33";"130306";"1"
"7";"24";"130306";"1"
"8";"16";"130306";"1"
"9";"14";"130306";"1"
"10";"8";"130306";"1"
"11";"17";"130306";"1"
"12";"21";"130306";"1"
"13";"12";"130306";"6"
"14";"23";"130306";"6"
"15";"25";"130306";"1"
"16";"30";"130306";"1"
"17";"31";"130306";"1"
"18";"34";"130306";"1"
"19";"5";"130306";"1"
"20";"13";"130306";"1"
"21";"18";"130306";"1"
"22";"11";"130306";"1"
"23";"15";"130306";"1"
"24";"19";"130306";"1"
"25";"26";"130306";"1"
"26";"27";"130306";"6"
"27";"28";"130306";"6"
"28";"6";"130306";"1"
"29";"10";"130306";"1"
"30";"22";"130306";"1"
"31";"1";"130306";"1"
"32";"2";"130306";"1"
"33";"3";"130306";"1"
"34";"4";"130306";"1"
"35";"35";"130306";"1"
"36";"36";"130306";"1"
"37";"37";"130306";"1"
"38";"38";"130306";"1"
"39";"39";"130306";"1"
"40";"40";"130306";"1"
"41";"41";"130306";"1"
"42";"42";"130306";"1"
"43";"43";"130306";"1"
"44";"44";"130306";"1"
"51";"52";"130306";"1"
"52";"45";"130306";"1"
